date,daily_sales
2018-02-19,31736.44
2018-02-20,36383.79
2018-02-21,30770.65
2018-02-22,38130.35
2018-02-23,30234.69
2018-02-24,25735.04
2018-02-25,31103.97
2018-02-26,39048.5
2018-02-27,46429.71
2018-02-28,35984.44
2018-03-01,35943.43
2018-03-02,35977.88
2018-03-03,26685.65
2018-03-04,28913.37
2018-03-05,36382.3
2018-03-06,37589.89
2018-03-07,31380.55
2018-03-08,33135.06
2018-03-09,22868.47
2018-03-10,27735.41
2018-03-11,26364.25
2018-03-12,33367.99
2018-03-13,36013.38
2018-03-14,28337.13
2018-03-15,36625.12
2018-03-16,30482.94
2018-03-17,21496.07
2018-03-18,25554.25
2018-03-19,44077.21
2018-03-20,39177.97
2018-03-21,33332.52
2018-03-22,36902.18
2018-03-23,26120.68
2018-03-24,24511.94
2018-03-25,25254.87
2018-03-26,36186.46
2018-03-27,32209.48
2018-03-28,30375.15
2018-03-29,27923.0
2018-03-30,20237.02
2018-03-31,20817.11
2018-04-01,27883.34
2018-04-02,43698.67
2018-04-03,32013.91
2018-04-04,31109.37
2018-04-05,32476.04
2018-04-06,22601.35
2018-04-07,19788.28
2018-04-08,22169.34
2018-04-09,33042.95
2018-04-10,27553.87
2018-04-11,36879.0
2018-04-12,33676.49
2018-04-13,31722.25
2018-04-14,20994.62
2018-04-15,31448.36
2018-04-16,36743.5
2018-04-17,32986.17
2018-04-18,33774.77
2018-04-19,42335.46
2018-04-20,24899.920000000002
2018-04-21,19367.41
2018-04-22,32280.02
2018-04-23,39982.54
2018-04-24,34010.39
2018-04-25,40205.28
2018-04-26,36020.45
2018-04-27,32108.82
2018-04-28,20453.23
2018-04-29,22128.14
2018-04-30,33390.66
2018-05-01,31278.4
2018-05-02,40158.9
2018-05-03,42976.89
2018-05-04,37083.47
2018-05-05,26592.88
2018-05-06,31905.94
2018-05-07,43441.93
2018-05-08,43250.29
2018-05-09,44552.46
2018-05-10,40819.08
2018-05-11,32440.76
2018-05-12,26573.95
2018-05-13,32142.41
2018-05-14,47633.68
2018-05-15,44471.92
2018-05-16,44539.16
2018-05-17,28279.78
2018-05-18,33542.43
2018-05-19,19976.05
2018-05-20,21839.05
2018-05-21,26401.05
2018-05-22,23887.68
2018-05-23,14454.59
2018-05-24,13002.25
2018-05-25,14103.57
2018-05-26,15419.49
2018-05-27,12305.64
2018-05-28,18640.93
2018-05-29,19921.62
2018-05-30,17141.55
2018-05-31,15514.45
2018-06-01,20784.79
2018-06-02,19555.75
2018-06-03,25855.53
2018-06-04,31094.38
2018-06-05,31674.45
2018-06-06,32385.170000000002
2018-06-07,29441.3
2018-06-08,30019.66
2018-06-09,20265.9
2018-06-10,25805.63
2018-06-11,40174.69
2018-06-12,33570.04
2018-06-13,37385.03
2018-06-14,30377.38
2018-06-15,22213.47
2018-06-16,19500.07
2018-06-17,20955.23
2018-06-18,28924.22
2018-06-19,31220.61
2018-06-20,28307.14
2018-06-21,29670.89
2018-06-22,21751.51
2018-06-23,20076.8
2018-06-24,23966.46
2018-06-25,33091.06
2018-06-26,33812.41
2018-06-27,27217.37
2018-06-28,34966.27
2018-06-29,22341.5
2018-06-30,17154.32
2018-07-01,20193.21
2018-07-02,24035.46
2018-07-03,25123.28
2018-07-04,35098.22
2018-07-05,24724.65
2018-07-06,14611.7
2018-07-07,8451.28
2018-07-08,16103.02
2018-07-09,17211.35
2018-07-10,18943.39
2018-07-11,15376.16
2018-07-12,13765.28
2018-07-13,24559.05
2018-07-14,19397.3
2018-07-15,18347.96
2018-07-16,31214.64
2018-07-17,28415.24
2018-07-18,39276.07
2018-07-19,37966.2
2018-07-20,33467.14
2018-07-21,24895.84
2018-07-22,25544.89
2018-07-23,39846.66
2018-07-24,35315.69
2018-07-25,37713.33
2018-07-26,33195.21
2018-07-27,23610.86
2018-07-28,26354.21
2018-07-29,23430.05
2018-07-30,33828.12
2018-07-31,38030.41
2018-08-01,38559.06
2018-08-02,39019.86
2018-08-03,39003.6
2018-08-04,33413.22
2018-08-05,37633.01
2018-08-06,50540.35
2018-08-07,50274.66
2018-08-08,38729.73
2018-08-09,36435.84
2018-08-10,30337.4
2018-08-11,24052.9
2018-08-12,26015.41
2018-08-13,37524.39
2018-08-14,37378.909999999996
2018-08-15,34144.3
2018-08-16,38769.68
2018-08-17,29661.97
2018-08-18,23244.07
2018-08-19,22881.78
2018-08-20,33435.22
2018-08-21,27991.75
2018-08-22,23543.21
2018-08-23,17598.69
2018-08-24,13333.69
2018-08-25,6149.98
2018-08-26,9070.72
2018-08-27,6136.05
2018-08-28,4261.4400000000005
2018-08-29,754.49
2018-09-03,166.46
